Title,page_no,recitation_no,recitation,image_pages,ayet_sayisi,etiketler,sureler
Sayfa 1,1,1,public://quran_audio/alafasy-Sayfa001.mp3,public://quran_images/sayfa-001.png,7,,
Sayfa 2,2,1,public://quran_audio/alafasy-Sayfa002.mp3,public://quran_images/sayfa-002.png,5,,
Sayfa 3,3,1,public://quran_audio/alafasy-Sayfa003.mp3,public://quran_images/sayfa-003.png,11,,
Sayfa 4,4,1,public://quran_audio/alafasy-Sayfa004.mp3,public://quran_images/sayfa-004.png,8,,
Sayfa 5,5,1,public://quran_audio/alafasy-Sayfa005.mp3,public://quran_images/sayfa-005.png,5,,
Sayfa 6,6,1,public://quran_audio/alafasy-Sayfa006.mp3,public://quran_images/sayfa-006.png,8,,
Sayfa 7,7,1,public://quran_audio/alafasy-Sayfa007.mp3,public://quran_images/sayfa-007.png,11,,
Sayfa 8,8,1,public://quran_audio/alafasy-Sayfa008.mp3,public://quran_images/sayfa-008.png,9,,
Sayfa 9,9,1,public://quran_audio/alafasy-Sayfa009.mp3,public://quran_images/sayfa-009.png,4,,
Sayfa 10,10,1,public://quran_audio/alafasy-Sayfa010.mp3,public://quran_images/sayfa-010.png,8,,
Sayfa 11,11,1,public://quran_audio/alafasy-Sayfa011.mp3,public://quran_images/sayfa-011.png,7,,
Sayfa 12,12,1,public://quran_audio/alafasy-Sayfa012.mp3,public://quran_images/sayfa-012.png,7,,
Sayfa 13,13,1,public://quran_audio/alafasy-Sayfa013.mp3,public://quran_images/sayfa-013.png,5,,
Sayfa 14,14,1,public://quran_audio/alafasy-Sayfa014.mp3,public://quran_images/sayfa-014.png,5,,
Sayfa 15,15,1,public://quran_audio/alafasy-Sayfa015.mp3,public://quran_images/sayfa-015.png,8,,
Sayfa 16,16,1,public://quran_audio/alafasy-Sayfa016.mp3,public://quran_images/sayfa-016.png,4,,
Sayfa 17,17,1,public://quran_audio/alafasy-Sayfa017.mp3,public://quran_images/sayfa-017.png,7,,
